Restaurants,Food Offered,Reviews,Disounts
The Golden Bowl,"North Indian, Punjabi, Combo",3.8,50% off on all orders
Selena Food Center,"Indian, Chinese, Thalis, Combo",3.1,50% off | Use TRYNEW
Grameen Kulfi,"Ice Cream, Desserts",N/A,20% off | Use TRYNEW
Healthie,"Healthy Food, Keto, Thalis, Snacks, Salads, European, Italian, American, Mediter...",N/A,30% off | Use TRYNEW
Voosh Dakshin,"South Indian, Snacks, Beverages",N/A,60% off | Use STEALDEAL
Yum In My Tum,"Chinese, Continental, Beverages, Pizzas, Italian, North Indian, Fast Food, Pasta...",3.9,60% off | Use STEALDEAL
Charminar Biryani House,"Biryani, North Indian",N/A,30% off on all orders
Mamagoto,"Chinese, Asian, Pan-Asian, Thai, Oriental",N/A,60% off | Use STEALDEAL
Royale Rolls,"North Indian, Snacks, Indian",3.8,50% off on all orders
The Wraps & Sandwich Company,Street Food,N/A,N/A
The Bowl Company,"Continental, North Indian, Pan-Asian, Desserts, American, Asian, Beverages, Biry...",N/A,50% off | Use TRYNEW
Kaati Zone Rolls & Wraps,"Fast Food, Beverages, Bengali, Biryani, Indian, North Indian, Snacks, Street Foo...",N/A,60% off | Use STEALDEAL
Foodzu,"Beverages, Juices",N/A,15% off on all orders
THE FRITTER COMPANY,"Beverages, Fast Food",N/A,60% off | Use STEALDEAL
The Twenty Handmade Chocolates,Desserts,N/A,N/A
Pizza Binge,"Beverages, Italian, Pizzas",N/A,60% off | Use TRYNEW
SRI VENKATESHWARA HOT CHIPS,"Snacks, Beverages, Fast Food, Indian",N/A,N/A
Silbatti,North Indian,3.6,20% off | Use TRYNEW
LONDON DAIRY,"Ice Cream, Desserts",N/A,N/A
Rock Well Shakes,"Fast Food, Beverages",N/A,N/A
Kebarbiq - Grill your Hunger,"Indian, Arabian, Chinese, Pizzas, Barbecue, Continental, Beverages, Combo, Itali...",N/A,40% off | Use TRYNEW
Snack House,"Fast Food, Street Food",N/A,30% off on all orders
Rang De Basanti Dhaba,"North Indian, Kebabs, Biryani, Snacks, Combo, Punjabi, Desserts, Tandoor, Indian",N/A,40% off | Use TRYNEW
Dr Sheesha ,"Chinese, Continental, Indian",N/A,N/A
Upahara Darshini,"Chinese, South Indian, North Indian, Desserts, Fast Food",N/A,N/A
Wow! Momo,"Tibetan, Fast Food, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts,...",3.9,50% off | Use TRYNEW
Tea Brew,"American, Italian, Beverages, Continental, Chinese, Pastas, Cafe, Pizzas, Fast F...",N/A,20% off | Use TRYNEW
Punjabi Unplugged,"North Indian, Chinese, Indian, Mughlai",3.8,60% off | Use STEALDEAL
Hunger Street,"Continental, Pastas",N/A,15% off on orders above ₹249
Donne Biryani Mandi,Biryani,N/A,N/A
Five Star Chicken,Fast Food,N/A,N/A
Udta Punjab Kitchen,"North Indian, Chinese",3.5,50% off on all orders
Sweet Rascal,"Bakery, Salads, Biryani, Combo",N/A,N/A
Bo & Jan - Deliciously Desi,"North Indian, Biryani, Combo, Mughlai",N/A,60% off | Use TRYNEW
Tenzin Kitchen,"Asian, Chinese, Pan-Asian, Tibetan",N/A,N/A
Punjabi Thrill,"Fast Food, Arabian, Beverages",3.9,60% off | Use STEALDEAL
Sweetfry.,"Fast Food, Snacks",N/A,N/A
Marwadi chaat & tiffin services,North Indian,3.7,50% off on all orders
All Saints Bakery,Bakery,N/A,N/A
sushila thali wali kitchen,North Indian,N/A,50% off on all orders
Globo Combo,"Chinese, North Indian, Combo",N/A,60% off | Use TRYNEW
Brown Burger Co.,"American, Fast Food, Beverages, Pizzas, Snacks, Juices, Desserts",N/A,40% off | Use TRYNEW
Freshii al natural,"Ice Cream, Juices, Snacks, Chinese",N/A,N/A
The Grub Hub,Fast Food,N/A,30% off | Use SWIGGYIT
Bistro Oui,Continental,N/A,30% off on orders above ₹259
PANDITS PAKKA VEG,"Indian, Chinese",N/A,N/A
Urban Food Culture,"North Indian, Bengali, Chinese, Biryani, Combo",N/A,20% off on orders above ₹199
Two Friends Cauldron,"Continental, Italian, American, Chinese",N/A,40% off | Use TRYNEW
Voosh Desi Parathas,"North Indian, Home Food, Indian, Beverages",N/A,60% off | Use STEALDEAL
Kouzina Kafe The Food Court,"Bakery, Desserts, Ice Cream, Fast Food, Beverages, American",N/A,20% off | Use TRYNEW
Kwality Walls Frozen Dessert and Ice Cream Shop,Ice Cream,N/A,20% off | Use PARTY
The Pizza Place,Pizzas,N/A,50% off | Use TRYNEW
Barista,"Beverages, Snacks, Desserts, Cafe",N/A,60% off | Use DEAL60
Kumarakom,"Kerala, South Indian",N/A,10% off | Use TRYNEW
Call Me Chow,"Chinese, Pan-Asian",N/A,40% off | Use TRYNEW
Heaven & Hell,"Desserts, Ice Cream, Sweets, Beverages",N/A,60% off | Use TRYNEW
Apsara Ice Creams,"Ice Cream, Desserts",N/A,60% off | Use STEALDEAL
Garam Matka,"Cafe, Bakery, Beverages",N/A,60% off | Use STEALDEAL
FUEL,"Juices, Healthy Food",N/A,30% off | Use TRYNEW
New Friend's,"North Indian, Chinese, Biryani, Continental, Italian, Seafood",N/A,N/A
Foodism.in,"Home Food, North Indian, Biryani, Thalis, Beverages, Chinese, Healthy Food, Indi...",3.4,40% off | Use TRYNEW
SHIVANSH JUICE AND SNACKS,Indian,N/A,N/A
Call Me Chow,"Chinese, Pan-Asian",N/A,40% off | Use TRYNEW
Heaven & Hell,"Desserts, Ice Cream, Sweets, Beverages",N/A,60% off | Use TRYNEW
Apsara Ice Creams,"Ice Cream, Desserts",N/A,60% off | Use STEALDEAL
Garam Matka,"Cafe, Bakery, Beverages",N/A,60% off | Use STEALDEAL
FUEL,"Juices, Healthy Food",N/A,30% off | Use TRYNEW
Foodism.in,"Home Food, North Indian, Biryani, Thalis, Beverages, Chinese, Healthy Food, Indi...",3.4,40% off | Use TRYNEW
New Friend's,"North Indian, Chinese, Biryani, Continental, Italian, Seafood",N/A,N/A
Frozen Monster,"Cafe, Desserts, Beverages",N/A,N/A
SHIVANSH JUICE AND SNACKS,Indian,N/A,N/A
Biryani Bowl,"Biryani, Indian, Beverages, Combo",N/A,30% off | Use TRYNEW
THE NORTH INDIAN FOOD KOURT,"Thalis, Biryani, Chinese, North Indian, Indian",N/A,N/A
Grow Fit,"Healthy Food, Keto, Indian, Biryani, Thai",N/A,60% off | Use TRYNEW
Shri Uphar,"South Indian, Chinese",N/A,N/A
Rolls & Bowls Company,"North Indian, Chinese, Fast Food",3.8,50% off | Use TRYNEW
Paandikadai-Chettinad kitchen by Salt,"Biryani, Combo, South Indian, Chettinad",N/A,50% off | Use TRYNEW
RK Fresh Food,"Continental, American, Desserts, Fast Food, Italian, Mexican, Beverages",3.5,N/A
Qube Cafe,"Continental, Italian, American, European, Italian-American, Keto",N/A,20% off | Use SWIGGYIT
In Wok,Chinese,N/A,N/A
XPRESS CHAI,Bakery,N/A,50% off | Use TRYNEW
Fanoos,"Biryani, Tandoor, Kebabs, Barbecue, Fast Food",N/A,15% off | Use TRYNEW
Gourmet Kitchen,Indian,N/A,30% off | Use TRYNEW
Juice Therapy,Beverages,N/A,30% off | Use TRYNEW
Theory Of Omelette,"Continental, European, Fast Food, Cafe",N/A,N/A
Craft of Biryani,"North Indian, Biryani, Kebabs, Beverages, Desserts",N/A,30% off | Use TRYNEW
The Downtown pizzeria,"Italian, Pizzas, Desserts, Salads",N/A,30% off | Use TRYNEW
NATURON CAKES,"Bakery, Indian, Sweets, Desserts",N/A,30% off | Use TRYNEW
URBAN FOODS,"Continental, Fast Food, Pastas, Snacks, Salads, Beverages, American",N/A,20% off on orders above ₹149
Tawa Dosa,South Indian,N/A,30% off | Use TRYNEW
Hotel Manu,"South Indian, Kerala, Chinese, North Indian",N/A,20% off | Use TRYNEW
Kaapi 41,"Pizzas, Beverages, Chaat, Snacks",N/A,N/A
Gelato Italiano,Desserts,N/A,N/A
Brooklyn Fried Chicken,"Biryani, Indian, Combo",N/A,N/A
The Dragon Box,Chinese,N/A,30% off | Use TRYNEW
Food Court By Kitchens@,"North Indian, Biryani, Chinese, Mughlai, Seafood, Snacks, Beverages, Ice Cream, ...",N/A,N/A
Big Biriyani Company,"Biryani, Mughlai",N/A,50% off | Use TRYNEW
The Desi Cafe,North Indian,N/A,50% off | Use TRYNEW
Keventers - Milkshakes & Ice Creams,"Beverages, Ice Cream, Desserts",N/A,50% off | Use TRYNEW
AMBUR HOT DUM BIRIYANI,"Biryani, Indian",N/A,N/A
Darjeeling Hot Momos,Fast Food,N/A,N/A
Chaayos Meri Wali Chai,"Bakery, Beverages, Chaat, Desserts, Fast Food, Home Food, Italian, Maharashtrian...",N/A,50% off | Use TRYNEW
Tiger Trail - Royal Orchid Hotel,"Mughlai, North Indian, Awadhi",N/A,N/A
JUST ROLL,"Indian, Fast Food",N/A,50% off | Use TRYNEW
Cafe Medley,"Desserts, American, Continental, Italian, Bakery, Beverages",N/A,N/A
Frosty Crumble,"Desserts, Beverages",N/A,20% off | Use TRYNEW
TEXAS BURGERS,"American, Desserts, Continental",N/A,40% off | Use TRYNEW
Quik Bites,"Desserts, Beverages, Ice Cream",N/A,N/A
My Cake Shop In,Bakery,N/A,N/A
Bansuri Sweets,Desserts,3.9,N/A
Roti Curry and Co,"Indian, North Indian, Home Food",3.8,50% off on all orders
The Pizza Bakery,"Italian, Pizzas, Pastas, Desserts",N/A,N/A
Khichdi Express,North Indian,N/A,20% off on all orders
Cafe Coffee Day,"Beverages, Snacks, Desserts",N/A,50% off | Use TRYNEW
The Veggie Thali,"Thalis, North Indian, Indian, Home Food",N/A,50% off on all orders
Veg Luv Bowl,"Indian, North Indian",N/A,50% off on all orders
Sahana's (Nati Style),"South Indian, Biryani, Chinese, Combo, Fast Food",N/A,40% off | Use TRYNEW
Crave by Leena,Bakery,N/A,N/A
The Dessert Zone,"Desserts, Bakery, Ice Cream, American, British, Combo, Snacks, Beverages",N/A,60% off | Use TRYNEW
Rana vada pav,"Juices, Fast Food",3.5,N/A
BIB - English Breakfast in the box,"American, Continental",3.8,30% off | Use TRYNEW
Sweet Truth,"Bakery, Desserts, Beverages",N/A,50% off | Use TRYNEW
Paratha Maharaj,"North Indian, Punjabi",N/A,50% off on all orders
Firangi Bake,"Italian, Mexican, Pastas",N/A,60% off | Use STEALDEAL
Cafe Reset,"Cafe, Indian, Desserts",N/A,N/A
D.K.C. - Delicious Khichdi Company,Indian,N/A,30% off | Use TRYNEW
Jimmy's Fried Chicken,"American, Continental, Snacks",N/A,30% off | Use TRYNEW
Lakeview Milkbar,"Desserts, Ice Cream, Bakery, Fast Food",N/A,30% off | Use TRYNEW
Pizza Crusto,Pizzas,N/A,60% off | Use TRYNEW
The Bier Library,"South Indian, North Indian, Continental, American, Desserts, Italian, Beverages",N/A,40% off | Use TRYNEW
Roots,"Indian, Tandoor, Chinese, Continental, Desserts",N/A,N/A
Chaska Bun,"Fast Food, Street Food, Cafe",N/A,N/A
Hungry bird,"Andhra, Biryani, Chinese, Indian",N/A,20% off | Use TRYNEW
Kalewa : Eat Desi Boost Immunity,"North Indian, Biryani, Desserts",N/A,30% off | Use TRYNEW
FreshMenu,"Chinese, Continental, Italian, Mediterranean, Thai, Lebanese, American, Asian, B...",N/A,60% off | Use DEAL60
MY KHANA,"North Indian, Indian, Desserts, Chinese, Fast Food, Combo, Thalis",N/A,50% off | Use TRYNEW
McDonald's Gourmet Burger Collection,"American, Continental, Fast Food, Desserts, Beverages",N/A,25% off | Use TRYNEW
Burgermeister,"American, Fast Food, Beverages",N/A,N/A
Biggies Burger,"Fast Food, American, Attractive Combos Available, Beverages, Combo, Snacks",N/A,30% off | Use TRYNEW
Kalingas,"North Indian, Oriya",N/A,N/A
China Twist,"Chinese, Thai, Beverages, Fast Food, Combo",N/A,30% off | Use TRYNEW
Trattoria By Toscano,"Italian, Pizzas, Pastas, Continental, Salads, Desserts, Beverages, Combo",N/A,50% off | Use TRYNEW
Punjabi Nawabi,"Chinese, North Indian, Punjabi",3.8,50% off | Use TRYNEW
The Thick Shake Factory,"Ice Cream, Beverages, Desserts",N/A,50% off | Use TRYNEW
MOTTEBOSS,Indian,N/A,30% off | Use TRYNEW
Foodpecker,"North Indian, Biryani, Combo, Beverages",N/A,50% off | Use SWIGGYIT
Hokart - Mahesha Fast food center,"Fast Food, Street Food, Snacks, South Indian",N/A,N/A
Sardarji Londonwaley,"Indian, North Indian, Punjabi, Chinese, Biryani",3.7,60% off | Use STEALDEAL
Chaat Paavlian,Fast Food,N/A,30% off | Use TRYNEW
LN KITCHEN'S,"Indian, Chinese, Biryani, Pizzas",N/A,50% off | Use TRYNEW
Kairali,Kerala,N/A,25% off | Use TRYNEW
FoodFit,"Chinese, American",N/A,N/A
Responsible Biryani,"Biryani, North Indian, Hyderabadi, Keto, Healthy Food, Kebabs, Desserts",N/A,20% off | Use TRYNEW
SEASAME KITCHEN,Chinese,N/A,30% off | Use TRYNEW
Captain Olive,"American, Fast Food, Beverages, Arabian",N/A,60% off | Use STEALDEAL
Shree Khana Khazana,"Indian, Rajasthani, North Indian, Punjabi, Beverages, Jain, Thalis, Combo",N/A,15% off | Use TRYNEW
Namma bangarapet Bhel house,Indian,N/A,10% off | Use TRYNEW
Bangalore Dessert Company,"Desserts, Bakery, Beverages, Ice Cream",3.8,N/A
ROTI SABJI.COM,"Rajasthani, North Indian",N/A,40% off | Use TRYNEW
Crumb Together,"Chinese, Indian, Continental, Italian, Mexican, North Indian, Pan-Asian, Seafood",N/A,20% off | Use TRYNEW
The Million Dollar Milk Shake,"Beverages, Ice Cream",N/A,10% off | Use PARTY
Kulcha Stories,"North Indian, Punjabi",N/A,30% off | Use SWIGGYIT
Cafe Spark,"Chaat, Juices, Snacks, Beverages",N/A,50% off | Use SWIGGYIT
Artinci - Indulge Guilt Free!,"Ice Cream, Healthy Food, Keto, Desserts, Snacks, Beverages, Bakery",N/A,50% off | Use TRYNEW
Healthy Beverages by Adigas,"Beverages, South Indian, Healthy Food",N/A,30% off | Use TRYNEW
MOMOment,"Asian, Chinese",N/A,N/A
Cake Party,"Indian, Bakery",N/A,20% off | Use SWIGGYIT
Elite Mess,"North Indian, South Indian, Fast Food",N/A,N/A
Coco barista,"North Indian, Chinese, Fast Food, Snacks",3.9,40% off | Use TRYNEW
Badmash Biryani,"Biryani, Tandoor, Desserts, Beverages, Lucknowi, Mughlai, Kebabs",N/A,10% off | Use PARTY
London Bubble Co,"Beverages, Snacks, Desserts",N/A,N/A
Raffaele's Ristorante Pizzeria,"Pizzas, Continental, Pastas, Fast Food, Beverages",N/A,10% off | Use PARTY
LiveAltlife,"Healthy Food, Salads, Juices",N/A,N/A
Chopstick,"Chinese, Thai, Seafood, Asian, Combo, Healthy Food, Beverages",N/A,60% off | Use TRYNEW
Boozy Bakes,"Bakery, Desserts, Ice Cream",N/A,20% off | Use TRYNEW
Heaven in a Jar,"Bakery, Desserts, Ice Cream",N/A,Free Delivery | Use FREEDEL
CHAAT KA CHASKA,"North Indian, Desserts, Beverages",N/A,20% off | Use TRYNEW
Smokey Tribe,"Naga, Continental, Seafood",3.9,N/A
Food Court By Kitchens@,"Biryani, Mughlai, Seafood, Kerala, Andhra, Chinese, North Indian, South Indian, ...",N/A,N/A
Just Burger Off,American,N/A,20% off | Use TRYNEW
Little Kolkata,"North Indian, Bengali, Chinese",N/A,25% off on orders above ₹250
T'ART,"Bakery, Desserts",N/A,60% off | Use STEALDEAL
Taste of malabar,Kerala,N/A,N/A
Pizza world,Pizzas,N/A,30% off | Use SWIGGYIT
Bhaijans Biryani,"Biryani, Kebabs, Combo",N/A,N/A
The Biryani Experiment,"Biryani, Mughlai",N/A,40% off | Use TRYNEW
Lord Of Wings,"Asian, Chinese, Indian",N/A,30% off | Use TRYNEW
What A Food,"North Indian, Chinese, Biryani",N/A,40% off | Use TRYNEW
Shahenshah Biryani,"Biryani, North Indian, Indian",N/A,50% off on all orders
Raghavendra Tiffin HSR,South Indian,N/A,N/A
Srinidhi Sagar,"South Indian, North Indian, Indian, Chinese, Beverages, Desserts",N/A,20% off | Use TRYNEW
Pappu Chaiwalla,"Continental, Fast Food, North Indian, Street Food",3.9,N/A
Grab A Snack,"Chinese, Indian",N/A,50% off | Use SWIGGYIT
The table,Desserts,N/A,40% off | Use TRYNEW
Biryani Royal,Indian,3.9,30% off | Use SWIGGYIT
Srinidhi Sagar Deluxe,"South Indian, North Indian, Indian, Chinese, Beverages, Desserts",N/A,20% off | Use TRYNEW
Paratha Expert,"Indian, Desserts, Beverages",N/A,N/A
Ambur star dum biriyani,Biryani,3.8,N/A
Puran Da Dhaba - Pride Hotel,"North Indian, Chinese, Continental",3.9,N/A
THE PAROTTA COMBO,Indian,N/A,30% off | Use TRYNEW
Bismillah Hotel,Indian,N/A,N/A
Smiti snacks,Snacks,N/A,N/A
Le Gourmet Sandwich,"Continental, American, French",N/A,10% off on all orders
MANASA FAMILY RESTAURANT,"Biryani, Indian, Desserts, Beverages",N/A,20% off | Use TRYNEW
Das ka Ghar,"Bengali, Biryani, North Indian, Sweets",N/A,10% off | Use TRYNEW
Frozen Bottle,"Beverages, Ice Cream, Desserts",N/A,60% off | Use STEALDEAL
Wicked Brownies,"Bakery, Beverages, Desserts, Ice Cream, Sweets",N/A,20% off | Use TRYNEW
Mr. king shawarma,Fast Food,N/A,25% off | Use SWIGGYIT
MOMOment,"Tibetan, Chinese",N/A,30% off | Use TRYNEW
Cake Box,"Desserts, Bakery",N/A,35% off on orders above ₹450
Juice Junction,"Juices, Fast Food",N/A,10% off | Use PARTY
Eat n Drink,"Indian, Italian, Chinese",N/A,N/A
Talented Kadai,"North Indian, Combo, Indian, Fast Food, Beverages, Desserts",N/A,10% off | Use PARTY
The Good Wich Project,Snacks,N/A,N/A
Shake Break,"Beverages, Ice Cream, Desserts, Sweets, Bakery",N/A,20% off | Use TRYNEW
URU Brewpark,"Continental, North Indian, Pizzas, Tandoor",N/A,20% off | Use TRYNEW
Foodeo - Burger Panda,"Fast Food, Snacks",N/A,50% off | Use TRYNEW
 Maggi Hut,"Fast Food, North Indian",N/A,25% off | Use TRYNEW
Bonjabi Foods,"North Indian, Punjabi, Bengali",N/A,60% off | Use TRYNEW
Burritos & Bowls Mexican Kitchen,"Mexican, Salads",N/A,N/A
ROLLING OVEN,Bakery,N/A,N/A
Ashok Vattika,"North Indian, Chinese, Tandoor, Beverages, Desserts",3.6,N/A
Roti-Wala,"North Indian, Home Food, Thalis",N/A,20% off | Use TRYNEW
BELLY CRAVINGS,"North Indian, Fast Food, Beverages, Grill",N/A,20% off | Use SWIGGYIT
SECRETSPOT CAFE,"Pizzas, Continental, Beverages, Snacks",N/A,N/A
Sri Udupi Food Hub,"South Indian, North Indian, Indian, Desserts, Fast Food, Beverages",N/A,40% off | Use TRYNEW
Slurpy Shakes,"Desserts, Beverages, Ice Cream",N/A,50% off | Use TRYNEW
Brunch Hub,"Snacks, Fast Food",N/A,15% off | Use JUMBO
The Good Bowl,"North Indian, Biryani, Chinese, Asian, Pastas, Desserts",N/A,40% off | Use TRYNEW
sonar bangla,"Bengali, North Indian",N/A,60% off | Use TRYNEW
BENGALI KHABAR,Bengali,N/A,N/A
The Coorg Food Co.,South Indian,N/A,20% off | Use TRYNEW
Sri Vishnu Park,"Indian, South Indian",N/A,N/A
The Coffee Affair,Indian,N/A,N/A
The Naati Bar And Kitchen,Indian,N/A,30% off | Use TRYNEW
La Pino'z Pizza,Italian,N/A,50% off | Use TRYNEW
Vyanjan,North Indian,N/A,N/A
Cafe Terra,Continental,N/A,20% off | Use JUMBO
ReFresh Juice Junction,"Fast Food, Street Food",N/A,N/A
Eat Khichdi,North Indian,N/A,N/A
Kaveri Foods Andhrastyle,"Andhra, Biryani, Chinese, North Indian, Hyderabadi, Mughlai, Tandoor, Punjabi, S...",N/A,50% off | Use TRYNEW
Chianti,Italian,N/A,N/A
Bistro Claytopia,"Continental, American, Desserts, Italian, Beverages, Seafood, Pan-Asian",N/A,30% off on all orders
Sardarji Parathawala,"North Indian, Thalis, Home Food, Healthy Food, Punjabi, Desserts, Combo, Beverag...",N/A,20% off on all orders
Great Indian Khichdi,"Indian, Home Food, Healthy Food, Snacks",N/A,50% off | Use TRYNEW
Smoodies,"Healthy Food, Snacks, Juices, Beverages",N/A,60% off | Use STEALDEAL
Lot Like Crepes,"Desserts, Continental, Cafe, Fast Food",N/A,N/A
SIP N BITE,"Fast Food, Chinese",N/A,N/A
The Shake Company,"Healthy Food, American, Desserts, Beverages",N/A,60% off | Use STEALDEAL
Mad Over Donuts,Desserts,N/A,30% off | Use TRYNEW
Lassi Cafe,"North Indian, Desserts, Fast Food, Beverages",N/A,20% off | Use TRYNEW
Kolkata Rolls & Fast Food,Fast Food,3.8,20% off | Use TRYNEW
Sundae Everyday Ice Creams,"Desserts, Ice Cream",N/A,10% off | Use TRYNEW
No Sugar Please,"Beverages, Keto, Fast Food, Chaat, Desserts, Salads",N/A,N/A
FOOD ART CAFE,"Indian, Chinese, Snacks",N/A,50% off | Use SWIGGYIT
Yumlane Pizza,"Pizzas, Desserts, Beverages, Snacks, Fast Food",3.9,60% off | Use STEALDEAL
Raw food & juice junction,Indian,N/A,N/A
Malabar Bay,"Kerala, Seafood, South Indian, Biryani, Chinese, Desserts, Beverages",N/A,N/A
Pizza 997 AD,"Pizzas, Desserts, Beverages, Snacks, Fast Food",N/A,40% off | Use TRYNEW
Hokart - Soori Chaats,"Chaat, Snacks",N/A,N/A
The Circle Dream,"Pizzas, Italian, Pastas, Desserts, Beverages, Continental, Indian, Mediterranean",N/A,30% off | Use TRYNEW
Ghar Ka Tadka,"North Indian, Home Food, South Indian",N/A,60% off | Use TRYNEW
The Daily Bowl,"North Indian, Indian",N/A,50% off on all orders
The Empire Juice Shop,"Juices, Ice Cream",3.2,50% off | Use TRYNEW
BaHa Smoothie,"Healthy Food, Juices, Beverages, Snacks, Desserts",N/A,50% off | Use TRYNEW
Cold Stone Creamery,"Ice Cream, Desserts, Beverages",N/A,60% off | Use STEALDEAL
Babai Tiffins,"South Indian, Juices",N/A,N/A
Gourmet Ice Cream Cakes by Baskin Robbins,"Desserts, Ice Cream, Bakery",N/A,20% off | Use TRYNEW
Grill Daddy,"Grill, American, Pizzas, Continental, Fast Food",N/A,30% off | Use SWIGGYIT
Burger Yard,"American, Beverages, Fast Food, Cafe",N/A,N/A
Hokart - Soori Chaats,"Chaat, Snacks",N/A,N/A
The Circle Dream,"Pizzas, Italian, Pastas, Desserts, Beverages, Continental, Indian, Mediterranean",N/A,30% off | Use TRYNEW
Ghar Ka Tadka,"North Indian, Home Food, South Indian",N/A,60% off | Use TRYNEW
The Daily Bowl,"North Indian, Indian",N/A,50% off on all orders
The Empire Juice Shop,"Juices, Ice Cream",3.2,50% off | Use TRYNEW
BaHa Smoothie,"Healthy Food, Juices, Beverages, Snacks, Desserts",N/A,50% off | Use TRYNEW
Cold Stone Creamery,"Ice Cream, Desserts, Beverages",N/A,60% off | Use STEALDEAL
Babai Tiffins,"South Indian, Juices",N/A,N/A
Gourmet Ice Cream Cakes by Baskin Robbins,"Desserts, Ice Cream, Bakery",N/A,20% off | Use TRYNEW
Grill Daddy,"Grill, American, Pizzas, Continental, Fast Food",N/A,30% off | Use SWIGGYIT
Burger Yard,"American, Beverages, Fast Food, Cafe",N/A,N/A
JUMBO SANDWICH,"Continental, Beverages",N/A,N/A
 Icy Spicy,"Fast Food, Street Food",N/A,25% off | Use UNLIMITED
The Local-Terrace Drinkery,"American, Indian",N/A,N/A
Fresh Pressery Cafe,"Pizzas, Desserts, Salads, Pastas, Beverages",N/A,20% off | Use TRYNEW
Os'yummly,"Indian, Beverages",N/A,N/A
Ovenstory Pizza,"Pizzas, Italian",3.8,50% off | Use TRYNEW
Bhaijans Biryani,"Biryani, Kebabs",N/A,60% off | Use TRYNEW
ICE CORNER,"Desserts, Beverages, Ice Cream, Juices",3.1,40% off on all orders
Jeni's Kitchen,"North Indian, Chinese",N/A,40% off | Use TRYNEW
McCafe by McDonald's,"Beverages, Desserts",N/A,N/A
Freshery,"Healthy Food, Juices, Beverages, Combo, Salads, Snacks",N/A,60% off | Use STEALDEAL
MEAL MASTER,"Pizzas, Italian, Continental, Beverages",N/A,N/A
Beijing Bites,"Chinese, Thai",N/A,60% off | Use STEALDEAL
Rajasthani Tadka Wala,"Thalis, Combo, North Indian, Snacks",N/A,50% off on all orders
Chinese Trail,"Chinese, Thai, Seafood, Asian, Combo, Healthy Food, Beverages",N/A,30% off | Use TRYNEW
punjab time,North Indian,N/A,50% off on all orders
Garden Fresh,"Beverages, Healthy Food, Juices, Salads",N/A,20% off | Use TRYNEW
World Wide Breakfast,"Fast Food, Combo",N/A,30% off on orders above ₹199
SLAY Coffee Bar,"Beverages, Desserts",N/A,40% off | Use TRYNEW
The Sugar Free Keto Kafe - By Artinci,"Ice Cream, Healthy Food, Keto, Desserts, Snacks, Beverages, Bakery",N/A,50% off | Use TRYNEW
Mr Sugarcane Juice,"Beverages, Ice Cream",N/A,N/A
Wah Parantha,Indian,N/A,25% off | Use SWIGGYIT
Mr. Chef,"Indian, Chinese",N/A,N/A
Madurai Idly Shop,South Indian,N/A,20% off | Use TRYNEW
Chinese Bistro,"Chinese, Biryani",N/A,40% off | Use TRYNEW
GULSHAN KA DHABA,Indian,N/A,50% off on all orders
marwadi Tadka wala,"Thalis, Combo, North Indian, Snacks",N/A,50% off on all orders
Just Sandwich,Continental,N/A,N/A
ARAKU Coffee,"Cafe, Beverages, Bakery, Continental, Desserts, Healthy Food, European",N/A,N/A
89 Express Dhaba,"North Indian, Rajasthani, Chinese",3.1,50% off on all orders
Nasi and Mee,"Pan-Asian, Singaporean, Malaysian, Japanese, Asian, Chinese, Indonesian",N/A,N/A
S M SHAWARMA HUT,Lebanese,N/A,N/A
Green Gobbles,"Healthy Food, North Indian, Oriental, Keto, Home Food, Indian",N/A,40% off | Use TRYHEALTHY
Pakoda Singh,Snacks,3.1,50% off on all orders
New Kabab Plaza,"North Indian, Fast Food",N/A,N/A
Bindu Garden Family Restaurant,"Chinese, North Indian",N/A,N/A
BIRYANI CIRCLE,"Biryani, North Indian, Tandoor",N/A,60% off | Use TRYNEW
MENU PUNJABI,North Indian,N/A,N/A
NADAN CHAYAKKADA,"Indian, South Indian, Beverages",N/A,N/A
Flying Kombucha,"American, Beverages, Cafe, Fast Food, Korean, Japanese",N/A,N/A
Mamata Biryani House,"Beverages, Chinese, Pan-Asian, Indian, Mughlai",N/A,N/A
GHAR WALA KHANA,Indian,N/A,50% off on all orders
Sri Krishna Nanda Gokula Veg,"South Indian, Chinese",N/A,10% off | Use TRYNEW
Veettile Ruchi,"Kerala, Chinese, Biryani",3.8,10% off | Use TRYNEW
32 Degree Fahrenheit,Beverages,N/A,N/A
ICE STONE ICE CREAM,"Ice Cream, Beverages, Desserts, Juices",N/A,30% off on orders above ₹199
Natural Sugarcane Juice,"Beverages, Juices, Ice Cream",N/A,N/A
Mr Tea,"Snacks, Indian",N/A,N/A
CHETTINAD FOOD HOUSE,Indian,N/A,N/A
Tree of life chocolates,Desserts,N/A,N/A
CANE HUT,"Juices, Ice Cream, Beverages, Chinese, Fast Food",N/A,N/A
Say Cheese Cake,"Desserts, Beverages, Bakery",N/A,30% off | Use TRYNEW
Chicking,"Fast Food, Pizzas, American, Mexican, Beverages",3.9,60% off | Use TRYNEW
Marwadi Chaat & Tiffin Services Shanti nagar,North Indian,N/A,40% off | Use TRYNEW
Hokart - Kolkata Kati king Rolls And Momos,"Fast Food, Street Food, Snacks",N/A,N/A
The Salad Studio,"Healthy Food, Salads, Cafe, Fast Food, Beverages",N/A,30% off | Use TRYNEW
Kedia's Funfood,Street Food,N/A,N/A
