Restaurants,Food Offered,Reviews,Disounts
Kabab magic,"Chinese, South Indian, North Indian, Fast Food, Mexican, Kerala",N/A,N/A
Gongura Grand,"Biryani, Chinese, Andhra, North Indian, Tandoor",3.9,40% off | Use TRYNEW
Levels Pub & Kitchen,"Indian, Chinese, Pizzas",N/A,20% off | Use TRYNEW
Tea Villa Cafe,"Chinese, Continental, Desserts, Fast Food, Italian, Mexican, Pan-Asian",N/A,N/A
Le Gateau - The Cake Shop,Desserts,N/A,N/A
The Biryani Life,"Biryani, Hyderabadi, Lucknowi, North Indian, Mughlai, Combo, Desserts",N/A,60% off | Use STEALDEAL
Asia Kitchen By Mainland China,"Asian, Chinese, Oriental",N/A,60% off | Use DEAL60
Bake and Juice,"Indian, Arabian, Beverages",3.8,30% off on all orders
99 Variety Dosa and Pav Bhaji,"South Indian, Snacks, Fast Food",N/A,30% off | Use TRYNEW
Burger It Up,"American, Continental, Desserts, Fast Food, Beverages, Snacks",N/A,30% off | Use TRYNEW
Krispy Kreme,"Desserts, Beverages",N/A,30% off on all orders
The Belgian Waffle Co.,"Desserts, Beverages",N/A,20% off | Use TRYNEW
Pop Pulao,Indian,N/A,50% off on all orders
AL- BEK,"Indian, Chinese",3.7,N/A
Momo's Corner,Chinese,N/A,25% off | Use TRYNEW
Goli Vada Pav No .1,"Maharashtrian, North Indian, Fast Food, Street Food",N/A,N/A
Barbeque Nation,"North Indian, Mughlai, Seafood, Biryani, Desserts, Kebabs",3.6,60% off | Use STEALDEAL
Amma's Pastries,"Bakery, Desserts",N/A,N/A
Amma's Pastries,"Bakery, Desserts",N/A,N/A
Istah - Shawarma and Biryani,"Biryani, Arabian, Lebanese",N/A,40% off | Use TRYNEW
Imperial Restaurant,"Tandoor, Biryani, Kerala, South Indian, North Indian, Fast Food, Chinese, Bevera...",N/A,N/A
Nandi chats bhandar,Indian,N/A,N/A
Punjabi Nukkad Pure Veg,"Punjabi, North Indian, Chinese, Desserts",N/A,30% off | Use TRYNEW
MAM - My Aunty Mane,"South Indian, North Eastern, Biryani, Coastal, Gujarati",N/A,20% off | Use TRYNEW
Chinese Wok (Wok Express),"Chinese, Asian",3.8,60% off | Use TRYNEW
Rampyari Chaiwala Netaji Bhajiawala,"Indian, Snacks",N/A,20% off | Use TRYNEW
Cakewala,Desserts,N/A,N/A
Nawab's Biryani,"Biryani, Hyderabadi, North Indian, Kebabs, Seafood, Desserts, Beverages",3.6,60% off | Use TRYNEW
Kailash Parbat,"Biryani, Desserts, Jain, North Indian",3.9,40% off | Use TRYNEW
Thottathil Restaurant,South Indian,N/A,N/A
Kadavu Shappu Curry's,"Kerala, Biryani, Chinese, North Indian",N/A,N/A
"Cupcake Noggins - Cakes,Pastries and Desserts","Desserts, British, Bakery, Pizzas, Snacks",N/A,N/A
Spice Of Biryani,"Andhra, Indian, Biryani, Lucknowi, Seafood, Tandoor, North Indian",3.7,50% off | Use TRYNEW
Nandhini Deluxe,"Andhra, Biryani, Indian",N/A,40% off | Use TRYNEW
Faasos,"Fast Food, Combo, Snacks",N/A,50% off | Use TRYNEW
Chaatimes,"Chaat, Beverages",N/A,25% off | Use TRYNEW
Taiki,"Pan-Asian, Japanese, Korean, Thai, Sushi, Beverages, Asian",N/A,50% off | Use TRYNEW
Ibaco,Desserts,N/A,N/A
Ultimate Punjabi,"Chinese, Tandoor, Desserts, Beverages, Indian, North Indian, Punjabi",N/A,30% off | Use JUMBO
Paradise Biryani,"Biryani, Kebabs",3.9,60% off | Use STEALDEAL
The Super Sandwich,"Pizzas, Chaat, Beverages, American",3.5,20% off | Use TRYNEW
"Just Bake Cake - Bakery, Desserts, Cakes & Confectioners","Bakery, Desserts, Snacks",N/A,N/A
Momoz,"Chinese, Thai, Seafood, Asian, Combo, Malaysian",N/A,60% off | Use TRYNEW
Adiga's,"South Indian, North Indian, Chinese, Thalis, Fast Food, Juices, Desserts",N/A,50% off | Use TRYNEW
Simpli Namdhari's,"Italian, Chinese, North Indian, European, Salads, Pizzas, Juices, Beverages, Bir...",N/A,30% off | Use TRYNEW
Mandi,"North Indian, Chaat, Sweets, Snacks, Fast Food, Desserts",N/A,60% off | Use STEALDEAL
EatFit,"Pizzas, Healthy Food, North Indian, Biryani, Thalis, Salads, Kebabs, Juices, Ice...",N/A,30% off | Use PARTY
Cake N Chef,"Bakery, Desserts",N/A,50% off | Use TRYNEW
Aligarh House,"Biryani, Mughlai, Kebabs, Indian, Juices, Desserts",N/A,50% off | Use TRYNEW
Laddoos,"North Indian, Chaat, Snacks, Sweets, Beverages",N/A,N/A
Sangam Sweets,"North Indian, Desserts, Fast Food",N/A,N/A
Asha Sweets Center,"Sweets, Snacks",N/A,N/A
New Shanthi Sagar,"North Indian, Chinese, Fast Food",N/A,30% off | Use TRYNEW
Goli Vada Pav No .1,"Maharashtrian, North Indian, Fast Food, Street Food",N/A,20% off | Use TRYNEW
Iyengars Bakery,"Bakery, Indian",N/A,N/A
calicut cafe restaurant,"Kerala, Beverages, Chinese, North Indian, Desserts",3.8,40% off on all orders
